case_id,pool,h_ch,n_fin,h_fin,d_in,u_in,q_w,geometry_family,solver_status,validation_pool,selection_group,selection_reason,source_parameter_file,nearest_id_train_distance,target_regime,ood_axis
id_train_0000,id_train,6.323644,4,3.139401,3.153214,1.026346,44.172071,uniform_fins,pending,id,id_smoke,already-passed smoke baseline,evidence_pack_tier2_steady/03_data/parameters.csv,,,
id_train_0200,id_train,9.863401,4,5.07196,4.985041,0.525088,31.723324,uniform_fins,pending,id,id_train_mid,middle ID-train representative,evidence_pack_tier2_steady/03_data/parameters.csv,,,
id_calibration_0400,id_calibration,4.702494,4,2.777651,3.104264,0.616183,29.682896,uniform_fins,pending,id,id_calibration_first,first ID-calibration representative,evidence_pack_tier2_steady/03_data/parameters.csv,,,
id_test_0500,id_test,6.983098,4,2.06243,5.296718,0.377652,38.821636,uniform_fins,pending,id,id_test_first,first ID-test representative,evidence_pack_tier2_steady/03_data/parameters.csv,,,
ood_test_0121,ood_test,5.806591,10,3.425269,0.910042,0.353129,20.276423,uniform_fins,pending,near_ood,ood_nfin_10_low_distance,existing OOD n_fin=10 low distance representative,evidence_pack_tier2_steady/03_data/parameters.csv,0.60664989,,
ood_test_0106,ood_test,12.105029,10,5.954229,3.231973,1.329507,44.311972,uniform_fins,pending,near_ood,ood_nfin_10_high_distance,existing OOD n_fin=10 high distance representative,evidence_pack_tier2_steady/03_data/parameters.csv,0.89490043,,
ood_test_0107,ood_test,7.769078,12,4.429596,0.921906,0.435687,25.521207,uniform_fins,pending,near_ood,ood_nfin_12_low_distance,existing OOD n_fin=12 low distance representative,evidence_pack_tier2_steady/03_data/parameters.csv,1.08219856,,
ood_test_0071,ood_test,9.50692,12,5.896683,7.167756,0.276905,7.38492,uniform_fins,pending,near_ood,ood_nfin_12_high_distance,existing OOD n_fin=12 high distance representative,evidence_pack_tier2_steady/03_data/parameters.csv,1.27887916,,
ood_test_0060,ood_test,11.593321,3,5.541343,4.376674,0.714255,35.805094,uniform_fins,pending,near_ood,ood_nfin_3_low_distance,existing OOD n_fin=3 low distance representative,evidence_pack_tier2_steady/03_data/parameters.csv,0.46036071,,
ood_test_0147,ood_test,8.658837,3,5.922938,0.822884,0.261535,41.851088,uniform_fins,pending,near_ood,ood_nfin_3_high_distance,existing OOD n_fin=3 high distance representative,evidence_pack_tier2_steady/03_data/parameters.csv,0.81276672,,
ood_fresh_0063,ood_fresh,7.037644,3,2.669291,7.297119,0.858744,34.49137,uniform_fins,pending,fresh_ood,fresh_d_in_high_low_distance,fresh OOD d_in_high low distance representative,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.58416326,,d_in_high
ood_fresh_0017,ood_fresh,8.711315,12,5.587756,7.037673,0.200172,37.491194,uniform_fins,pending,fresh_ood,fresh_d_in_high_high_distance,fresh OOD d_in_high high distance representative,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.26801968,,d_in_high
ood_fresh_0009,ood_fresh,5.455536,3,2.658543,0.733329,0.339555,9.814327,uniform_fins,pending,fresh_ood,fresh_d_in_low_low_distance,fresh OOD d_in_low low distance representative,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.49527853,,d_in_low
ood_fresh_0089,ood_fresh,9.05572,12,4.6858,0.713635,1.4786,49.668648,uniform_fins,pending,fresh_ood,fresh_d_in_low_high_distance,fresh OOD d_in_low high distance representative,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.28443898,,d_in_low
ood_fresh_0078,ood_fresh,11.548125,3,5.53416,3.105989,0.995462,24.545814,uniform_fins,pending,fresh_ood,fresh_h_ch_high_low_distance,fresh OOD h_ch_high low distance representative,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.47877484,,h_ch_high
ood_fresh_0008,ood_fresh,11.857382,12,5.66389,4.779731,0.789714,40.885765,uniform_fins,pending,fresh_ood,fresh_h_ch_high_high_distance,fresh OOD h_ch_high high distance representative,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.23584590,,h_ch_high
hard_hchhighidfin_0000,hard_regime,12.149608,4,5.043762,5.706882,0.313484,5.760044,uniform_fins,pending,hard_regime,hard_h_ch_high_id_fin_high_distance,hard-regime h_ch_high_id_fin highest distance representative,evidence_pack_tier2_steady/03_data/hard_regime_parameters.csv,0.60677040,h_ch_high_id_fin,
hard_nfin3hchhigh_0004,hard_regime,11.909966,3,2.818448,5.22941,0.711387,30.225012,uniform_fins,pending,hard_regime,hard_nfin3_h_ch_high_high_distance,hard-regime nfin3_h_ch_high highest distance representative,evidence_pack_tier2_steady/03_data/hard_regime_parameters.csv,0.66901996,nfin3_h_ch_high,
hard_nfin3idaxes_0004,hard_regime,9.683336,3,3.454105,4.293477,0.751326,47.418637,uniform_fins,pending,hard_regime,hard_nfin3_id_axes_high_distance,hard-regime nfin3_id_axes highest distance representative,evidence_pack_tier2_steady/03_data/hard_regime_parameters.csv,0.51427032,nfin3_id_axes,
