suite,variant,u_in_m_per_s,Re_h,modification,reported_converged,reported_iterations,last_time,p_initial_last,p_final_last,U_initial_last,U_final_last,continuity_sum_local_last,interpretation
control,baseline_v14,1.352273,447.2,"v14 controls: Gauss upwind, p relaxation 0.2, U relaxation 0.3",false,,5000,0.005487249,1.8697796e-05,0.00040355758,1.4532774e-07,0.0008027386,full-velocity case plateaus far above steady residual target
control,p_reltol0,1.352273,447.2,"baseline plus pressure solver tolerance 1e-8 and relTol 0",false,,5000,0.0063976906,3.9814597e-09,0.00045768122,1.6681451e-07,1.7037064e-07,strict pressure linear solve fixes final residual and continuity but not outer steady residuals
control,nonorth1,1.352273,447.2,"baseline plus nNonOrthogonalCorrectors 1",false,,5000,1.6972231e-05,6.8017764e-08,0.00045699204,1.6640792e-07,2.9145866e-06,non-orthogonal correction improves pressure residual but velocity fixed point still fails
control,outlet_inletOutlet,1.352273,447.2,"baseline plus outlet U inletOutlet with zero inletValue",false,,5000,0.0062879853,2.1395452e-05,0.00047268059,1.678441e-07,0.00095111811,outlet backflow boundary treatment is not the primary blocker
control,half_velocity,0.6761365,223.6,"baseline with inlet velocity halved",true,3470,3470,9.9826877e-07,2.4898038e-08,1.5326185e-07,2.9171143e-09,6.6348972e-07,same saturated geometry converges at lower velocity
velocity_sweep,u_0p75,0.75,248.0,"baseline with inlet velocity 0.75 m/s",false,,5000,2.2029065e-06,4.959683e-08,2.7820256e-07,5.3005188e-09,1.4208142e-06,near-threshold miss after 5000 iterations
velocity_sweep,u_0p90,0.90,297.6,"baseline with inlet velocity 0.90 m/s",false,,5000,0.00027441842,2.291635e-06,3.1034999e-05,1.1686364e-08,7.1705962e-05,steady residuals degrade strongly above 0.75 m/s
velocity_sweep,u_1p05,1.05,347.2,"baseline with inlet velocity 1.05 m/s",false,,5000,0.0030776002,2.0066525e-05,0.00028542905,1.0616992e-07,0.0006987853,full-case failure pattern appears by Re_h about 350
velocity_sweep,u_1p20,1.20,396.8,"baseline with inlet velocity 1.20 m/s",false,,5000,0.0042103593,2.0574554e-05,0.00034198112,1.2650241e-07,0.0008093353,high-velocity saturated flow remains outside steady solver comfort zone
velocity_sweep,u_1p30,1.30,429.9,"baseline with inlet velocity 1.30 m/s",false,,5000,0.0054623449,1.508747e-05,0.00039953866,1.4614352e-07,0.00062721658,near-production velocity reproduces pressure/velocity residual plateau
followup,nonorth2,1.352273,447.2,"baseline plus nNonOrthogonalCorrectors 2",false,,5000,2.651722e-07,5.5830485e-08,0.00045735183,1.6654353e-07,2.3929341e-06,pressure residual is cleaned but velocity residual still blocks convergence
followup,nonorth1_relax010,1.352273,447.2,"nNonOrthogonalCorrectors 1, p relaxation 0.1, U relaxation 0.1",false,,5000,9.2976567e-06,8.5764584e-08,0.00010152623,1.6993408e-07,1.5685578e-06,stronger damping helps velocity residual but still misses by about two orders
followup,nonorth1_reltol0,1.352273,447.2,"nNonOrthogonalCorrectors 1 plus pressure solver tolerance 1e-8 and relTol 0",false,,5000,2.0530782e-08,3.3281682e-09,0.00045746853,1.6660833e-07,1.4264981e-07,excellent pressure/continuity metrics can coexist with failed velocity steady residual
